time,vx,vy,wz
1702623838554029.0,0.20000000298023224,0.0,-0.027719324454665184
1702623838594886.0,0.20000000298023224,0.0,-0.032943833619356155
1702623838634569.0,0.20000000298023224,0.0,-0.0235727708786726
1702623838674978.0,0.20000000298023224,0.0,-0.0190126970410347
1702623838717104.0,0.20000000298023224,0.0,-0.004525091499090195
1702623838759228.0,0.20000000298023224,0.0,0.010185478255152702
1702623838798520.0,0.20000000298023224,0.0,0.03497791290283203
1702623838808857.0,0.20000000298023224,0.0,0.03497791290283203
1702623838843471.0,0.20000000298023224,0.0,0.044701799750328064
1702623838878678.0,0.20000000298023224,0.0,0.04050120711326599
1702623838919633.0,0.20000000298023224,0.0,0.036219798028469086
1702623838958823.0,0.20000000298023224,0.0,0.02695941925048828
1702623839002910.0,0.20000000298023224,0.0,0.02261980250477791
1702623839039684.0,0.20000000298023224,0.0,-0.0016299908747896552
1702623839084144.0,0.20000000298023224,0.0,-0.016394000500440598
1702623839121771.0,0.20000000298023224,0.0,-0.01667453534901142
1702623839163191.0,0.20000000298023224,0.0,-0.00712012592703104
1702623839203158.0,0.20000000298023224,0.0,0.0026059476658701897
1702623839243187.0,0.20000000298023224,0.0,0.02235640026628971
1702623839285476.0,0.20000000298023224,0.0,0.02768065594136715
1702623839325499.0,0.20000000298023224,0.0,0.042973823845386505
1702623839365985.0,0.20000000298023224,0.0,0.024098128080368042
1702623839408155.0,0.20000000298023224,0.0,0.009790325537323952
1702623839446567.0,0.20000000298023224,0.0,-0.004524298943579197
1702623839486027.0,0.20000000298023224,0.0,-0.009528448805212975
1702623839529049.0,0.20000000298023224,0.0,-0.029422998428344727
1702623839571011.0,0.20000000298023224,0.0,-0.03498297929763794
1702623839607623.0,0.20000000298023224,0.0,-0.035765789449214935
1702623839650162.0,0.20000000298023224,0.0,-0.02180817537009716
1702623839693331.0,0.20000000298023224,0.0,-0.022323207929730415
1702623839736476.0,0.20000000298023224,0.0,-0.027773413807153702
1702623839773391.0,0.20000000298023224,0.0,-0.023517301306128502
1702623839809045.0,0.20000000298023224,0.0,-0.023517301306128502
1702623839819098.0,0.20000000298023224,0.0,-0.014487307518720627
1702623839853556.0,0.20000000298023224,0.0,0.005687074735760689
1702623839893526.0,0.20000000298023224,0.0,0.035257164388895035
1702623839934641.0,0.20000000298023224,0.0,0.016788706183433533
1702623839976125.0,0.20000000298023224,0.0,0.0221293643116951
1702623840023798.0,0.20000000298023224,0.0,-0.006120188161730766
1702623840055896.0,0.20000000298023224,0.0,-0.011207113042473793
1702623840096328.0,0.20000000298023224,0.0,-0.016429683193564415
1702623840146581.0,0.20000000298023224,0.0,-0.016429683193564415
1702623840147255.0,0.20000000298023224,0.0,-0.011980501003563404
1702623840178222.0,0.20000000298023224,0.0,-0.007424731273204088
1702623840222750.0,0.20000000298023224,0.0,-0.012583090923726559
1702623840261217.0,0.20000000298023224,0.0,-0.0080665098503232
1702623840301091.0,0.20000000298023224,0.0,0.001487261732108891
1702623840344339.0,0.20000000298023224,0.0,0.011385714635252953
1702623840381187.0,0.20000000298023224,0.0,0.006869153119623661
1702623840422741.0,0.20000000298023224,0.0,0.012050265446305275
1702623840461041.0,0.20000000298023224,0.0,0.017328916117548943
1702623840504578.0,0.20000000298023224,0.0,0.027836214751005173
1702623840546859.0,0.20000000298023224,0.0,0.024053074419498444
1702623840586772.0,0.20000000298023224,0.0,0.025068406015634537
1702623840625828.0,0.20000000298023224,0.0,0.021253399550914764
1702623840672103.0,0.20000000298023224,0.0,0.022242039442062378
1702623840710177.0,0.20000000298023224,0.0,0.013500195927917957
1702623840752297.0,0.20000000298023224,0.0,0.014185179024934769
1702623840788573.0,0.20000000298023224,0.0,0.0005090463091619313
1702623840809239.0,0.20000000298023224,0.0,0.0005090463091619313
